Dataset,Gene,Function(s),Score
MCF7,DDR1,early endosome;,0.142973749
MCF7,DDR1,placenta development;,0.145205919
MCF7,DDR1,regulation of leukocyte chemotaxis;,0.177065272
MCF7,DDR1,lysosomal membrane;vacuolar membrane;lytic vacuole membrane;,0.194347317
MCF7,DDR1,regulation of production of molecular mediator of immune response;,0.206933226
MCF7,DDR1,endopeptidase inhibitor activity;negative regulation of endopeptidase activity;peptidase inhibitor activity;peptidase regulator ... <Preview truncated at 128 characters>,0.207076131
MCF7,DDR1,angiogenesis;blood vessel morphogenesis;,0.223826555
MCF7,DDR1,monosaccharide metabolic process;hexose metabolic process;,0.268938914
MCF7,DDR1,transcription corepressor activity;,0.286559669
MCF7,DDR1,adaptive immune response;,0.289768453
MCF7,DDR1,liver development;hepaticobiliary system development;,0.295696954
MCF7,DDR1,magnesium ion binding;,0.31057646
MCF7,DDR1,neutrophil activation involved in immune response;neutrophil mediated immunity;granulocyte activation;neutrophil activation;leuk... <Preview truncated at 128 characters>,0.323376119
MCF7,DDR1,response to acid chemical;,0.451376573
HCT116,GDI1,regulation of G2/M transition of mitotic cell cycle;regulation of cell cycle G2/M phase transition;,0.048960418
HCT116,GDI1,detection of external stimulus;detection of abiotic stimulus;,0.066031628
HCT116,GDI1,monovalent inorganic cation transmembrane transporter activity;monovalent inorganic cation transport;,0.07838559
HCT116,GDI1,positive regulation of angiogenesis;positive regulation of vasculature development;,0.090687684
HCT116,GDI1,protein polyubiquitination;,0.090705461
HCT116,GDI1,macromolecule methylation;,0.193984972
HCT116,GDI1,inorganic anion transmembrane transporter activity;inorganic anion transport;,0.212592637
HCT116,GDI1,ligand-gated ion channel activity;ligand-gated channel activity;ligand-gated cation channel activity;,0.225309108
HCT116,GDI1,sulfur compound binding;,0.235640816
HCT116,GDI1,ion channel binding;,0.242322846
HCT116,GDI1,metal ion transmembrane transporter activity;,0.27341167
HCT116,GDI1,positive regulation of epithelial cell migration;,0.298257112
HCT116,GDI1,cellular amino acid metabolic process;,0.313889882
HCT116,GDI1,morphogenesis of a branching structure;branching morphogenesis of an epithelial tube;morphogenesis of a branching epithelium;,0.382145083
HCT116,GDI1,calcium channel activity;calcium ion transmembrane transporter activity;,0.389763729
HCT116,GDI1,voltage-gated ion channel activity;voltage-gated channel activity;voltage-gated cation channel activity;,0.412097731
HCT116,HIRA,ameboidal-type cell migration;,0.122729344
HCT116,HIRA,ubiquitin ligase complex;,0.142250721
HCT116,HIRA,core promoter binding;,0.198549287
HCT116,HIRA,"DNA-directed RNA polymerase complex;DNA-directed RNA polymerase II, holoenzyme;RNA polymerase complex;nuclear DNA-directed RNA p... <Preview truncated at 128 characters>",0.35213266
HCT116,MRE11A,mesoderm development;,0.161925978
HCT116,MRE11A,"DNA-templated transcription, initiation;transcription initiation from RNA polymerase II promoter;",0.179675951
HCT116,MRE11A,ameboidal-type cell migration;,0.191970832
HCT116,MRE11A,phosphoprotein phosphatase activity;protein dephosphorylation;,0.220286515
HCT116,MRE11A,cellular lipid catabolic process;,0.236115098
HCT116,MRE11A,negative regulation of epithelial cell proliferation;,0.290509217
HCT116,MRE11A,morphogenesis of a branching structure;branching morphogenesis of an epithelial tube;morphogenesis of a branching epithelium;,0.326118262
HCT116,MRE11A,ion channel binding;,0.372805771
HCT116,RHOA,heme binding;tetrapyrrole binding;,0.002487147
HCT116,RHOA,tRNA processing;,0.022235394
HCT116,RHOA,RNA polymerase II transcription cofactor activity;,0.024628819
HCT116,RHOA,mammary gland development;,0.026353749
HCT116,RHOA,nuclear membrane;,0.03261045
HCT116,RHOA,regulation of reproductive process;,0.035869704
HCT116,RHOA,aminoglycan metabolic process;glycosaminoglycan metabolic process;,0.060443576
HCT116,RHOA,fat cell differentiation;,0.088677777
HCT116,RHOA,positive regulation of epithelial cell migration;,0.104874792
HCT116,RHOA,cellular lipid catabolic process;,0.137358998
HCT116,RHOA,cellular response to starvation;response to starvation;,0.18446376
HCT116,RHOA,core promoter binding;,0.237021383
HCT116,RHOA,"DNA-directed RNA polymerase complex;DNA-directed RNA polymerase II, holoenzyme;RNA polymerase complex;nuclear DNA-directed RNA p... <Preview truncated at 128 characters>",0.326768513
HCT116,RHOA,"DNA-templated transcription, initiation;transcription initiation from RNA polymerase II promoter;",0.421745457
MCF7,SPAG7,muscle system process;muscle contraction;,0.155716004
MCF7,SPAG7,aminoglycan biosynthetic process;glycosaminoglycan biosynthetic process;,0.176538953
MCF7,SPAG7,Golgi stack;,0.190589045
MCF7,SPAG7,regulation of myeloid leukocyte differentiation;,0.21123404
MCF7,SPAG7,early endosome;,0.241442117
MCF7,SPAG7,generation of precursor metabolites and energy;,0.268725359
MCF7,SPAG7,mitochondrial outer membrane;outer membrane;organelle outer membrane;,0.379348754
MCF7,SPAG7,monosaccharide metabolic process;hexose metabolic process;,0.442430497
MCF7,SPAG7,structural constituent of cytoskeleton;,0.582139533
MCF7,SPAG7,glucose metabolic process;hexose metabolic process;,0.616923518
MCF7,SPAG7,negative regulation of protein kinase activity;negative regulation of kinase activity;negative regulation of transferase activit... <Preview truncated at 128 characters>,0.644632907
CRISPR,RHOA,cell cycle checkpoint;DNA damage checkpoint;mitotic cell cycle checkpoint;DNA integrity checkpoint;,0.405886184
CRISPR,RHOA,G1/S transition of mitotic cell cycle;cell cycle G1/S phase transition;,0.110562283
CRISPR,RHOA,G2/M transition of mitotic cell cycle;cell cycle G2/M phase transition;,0.326716995
CRISPR,RHOA,"RNA splicing, via transesterification reactions;RNA splicing, via transesterification reactions with bulged adenosine as nucleop... <Preview truncated at 128 characters>",0.32770294
CRISPR,RHOA,"DNA-directed RNA polymerase complex;DNA-directed RNA polymerase II, holoenzyme;RNA polymerase complex;nuclear DNA-directed RNA p... <Preview truncated at 128 characters>",0.48514074
CRISPR,RHOA,telomere maintenance;telomere organization;,0.177972076
CRISPR,RHOA,"chromosome, centromeric region;",0.471540514
CRISPR,RHOA,"kinetochore;condensed chromosome kinetochore;condensed chromosome, centromeric region;",0.426681492
CRISPR,RHOA,"chromosome, telomeric region;nuclear chromosome, telomeric region;",0.635531989
CRISPR,RHOA,chromatin;,0.691738843
CRISPR,RHOA,nuclear chromatin;,0.630147812
CRISPR,RHOA,condensed chromosome;,0.517394315
CRISPR,RHOA,sister chromatid segregation;nuclear chromosome segregation;,0.531358807
CRISPR,RHOA,spindle pole;,0.145922355
MCF7,RHOA,SH3 domain binding;,0.002432849
MCF7,RHOA,Rab GTPase binding;,0.11363202
MCF7,RHOA,regulation of lipid metabolic process;,0.372320605
MCF7,RHOA,aromatic compound catabolic process;nucleobase-containing compound catabolic process;cellular nitrogen compound catabolic proces... <Preview truncated at 128 characters>,0.113344547
MCF7,RHOA,calcium-mediated signaling;,0.449117815
MCF7,RHOA,stem cell population maintenance;maintenance of cell number;,0.578252145
MCF7,RHOA,neural tube development;,0.114217088
MCF7,RHOA,electron transport chain;,0.463177584
CRISPR,A4GALT,nuclear matrix;nuclear periphery;,
CRISPR,A4GALT,regulation of regulated secretory pathway;,
